system:index,date,.geo
20241231T235600_20250102T201336,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T013730_20250102T200932,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T031900_20250102T201935,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T050030_20250103T011641,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T064200_20250103T050944,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T082330_20250103T085601,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T100500_20250103T104923,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T114630_20250103T110548,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T132800_20250103T110442,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T150930_20250103T110858,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T165100_20250103T153827,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T183230_20250104T044221,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T201400_20250103T172340,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T215530_20250104T044351,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T233700_20250103T185714,2025-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T011830_20250103T190659,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T030000_20250103T190847,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T044130_20250103T211745,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T062300_20250103T232029,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T080430_20250104T001455,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T094600_20250104T020758,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T112730_20250104T034656,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T130900_20250104T070018,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T145030_20250104T085122,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T163200_20250104T154419,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T181330_20250104T105505,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T195500_20250104T120038,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T213630_20250104T134102,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102T231800_20250104T151918,2025-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T005930_20250104T170004,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T024100_20250104T185033,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T042230_20250104T203628,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T060400_20250104T221851,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T074531_20250105T000349,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T092701_20250105T014158,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T110831_20250105T121108,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T125001_20250105T050412,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T143131_20250105T120852,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T161301_20250105T121215,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T175431_20250105T101312,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T193601_20250105T114851,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T211731_20250105T132250,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T225901_20250105T150159,2025-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T004031_20250105T163426,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T022201_20250105T183524,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T040331_20250105T201112,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T054501_20250105T215742,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T072631_20250105T234401,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T090801_20250106T012708,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T104931_20250106T030601,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T123101_20250106T050329,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T141231_20250106T062531,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T155401_20250106T080213,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T173531_20250106T095017,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T191701_20250106T164957,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T205831_20250106T164919,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T224002_20250106T165024,2025-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T002132_20250106T162833,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T020302_20250106T180552,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T034432_20250106T194925,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T052602_20250106T214258,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T070732_20250107T015916,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T084902_20250107T010046,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T103032_20250107T024320,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T121202_20250107T044557,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T135332_20250107T060814,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T153502_20250107T074416,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T171632_20250107T093122,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T185802_20250107T111452,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T203932_20250107T124744,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T222102_20250107T142432,2025-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T000232_20250107T160959,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T014402_20250107T175256,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T032532_20250108T011046,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T050702_20250107T212251,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T064832_20250107T225945,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T083003_20250108T003754,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T101133_20250108T022738,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T115303_20250108T042619,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T133433_20250108T054249,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T151603_20250108T081858,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T165733_20250108T091243,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T183903_20250108T105606,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T202033_20250108T122527,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T220203_20250108T135737,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106T234333_20250108T155206,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T012503_20250108T173312,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T030633_20250108T191542,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T044803_20250108T205951,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T062933_20250108T224159,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T081103_20250109T002003,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T095234_20250109T021321,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T113404_20250109T040422,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T131534_20250109T052455,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T145704_20250109T065930,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T163834_20250109T085413,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T182004_20250109T104131,2025-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
